,Datetime,Adj Close,Close,High,Low,Open,Volume
0,2024-09-30 04:00:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,0.0
1,2024-09-30 04:01:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,34.0
2,2024-09-30 04:02:00+00:00,114.65625,114.65625,114.671875,114.65625,114.65625,31.0
3,2024-09-30 04:03:00+00:00,114.65625,114.65625,114.671875,114.65625,114.65625,16.0
4,2024-09-30 04:04:00+00:00,,,,,,
5,2024-09-30 04:05:00+00:00,114.671875,114.671875,114.671875,114.65625,114.65625,3.0
6,2024-09-30 04:06:00+00:00,114.65625,114.65625,114.65625,114.65625,114.65625,869.0
7,2024-09-30 04:07:00+00:00,114.65625,114.65625,114.65625,114.65625,114.65625,415.0
8,2024-09-30 04:08:00+00:00,114.65625,114.65625,114.65625,114.640625,114.65625,152.0
9,2024-09-30 04:09:00+00:00,,,,,,
10,2024-09-30 04:10:00+00:00,114.671875,114.671875,114.6875,114.671875,114.671875,596.0
11,2024-09-30 04:11:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,20.0
12,2024-09-30 04:12:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,165.0
13,2024-09-30 04:13:00+00:00,,,,,,
14,2024-09-30 04:14:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,45.0
15,2024-09-30 04:15:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,702.0
16,2024-09-30 04:16:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,107.0
17,2024-09-30 04:17:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,8.0
18,2024-09-30 04:18:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,187.0
19,2024-09-30 04:19:00+00:00,114.65625,114.65625,114.671875,114.65625,114.671875,177.0
20,2024-09-30 04:20:00+00:00,114.671875,114.671875,114.671875,114.65625,114.65625,303.0
21,2024-09-30 04:21:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,419.0
22,2024-09-30 04:22:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,109.0
23,2024-09-30 04:23:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,34.0
24,2024-09-30 04:24:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,6.0
25,2024-09-30 04:25:00+00:00,114.65625,114.65625,114.65625,114.65625,114.65625,9.0
26,2024-09-30 04:26:00+00:00,114.65625,114.65625,114.671875,114.65625,114.671875,5.0
27,2024-09-30 04:27:00+00:00,114.65625,114.65625,114.671875,114.65625,114.65625,23.0
28,2024-09-30 04:28:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,20.0
29,2024-09-30 04:29:00+00:00,114.65625,114.65625,114.65625,114.65625,114.65625,1.0
30,2024-09-30 04:30:00+00:00,114.6875,114.6875,114.6875,114.65625,114.671875,186.0
31,2024-09-30 04:31:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,3.0
32,2024-09-30 04:32:00+00:00,,,,,,
33,2024-09-30 04:33:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,62.0
34,2024-09-30 04:34:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,2.0
35,2024-09-30 04:35:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,1.0
36,2024-09-30 04:36:00+00:00,114.6875,114.6875,114.6875,114.671875,114.671875,29.0
37,2024-09-30 04:37:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,1.0
38,2024-09-30 04:38:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,1.0
39,2024-09-30 04:39:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,1.0
40,2024-09-30 04:40:00+00:00,114.671875,114.671875,114.671875,114.671875,114.671875,1.0
41,2024-09-30 04:41:00+00:00,114.6875,114.6875,114.6875,114.671875,114.671875,249.0
